Date,Low,Open,Volume,High,Close,Adjusted Close
7-12-12,30.60000038,30.70000076,11300700,31.39999962,30.80999947,30.80999947
7-13-12,30.55999947,31.04000092,8108300,31.06999969,30.71999931,30.71999931
7-16-12,28.20999908,30.5,24672100,30.5,28.25,28.25
7-17-12,27.14999962,28.47999954,30438600,28.59000015,28.09000015,28.09000015
7-18-12,28.14999962,28.30999947,16841800,29.29000092,29.11000061,29.11000061
7-19-12,28.62999916,29.40999985,13685100,29.5,29,29
7-20-12,28.71999931,29,11869100,29.46999931,28.76000023,28.76000023
7-23-12,28.01000023,28.12000084,12390700,29,28.75,28.75
7-24-12,28.10000038,28.81999969,11539800,29.45000076,28.45000076,28.45000076
7-25-12,28.07999992,28.38999939,17230200,29.48999977,29.34000015,29.34000015
7-26-12,26.72999954,27.75,64597400,28.22999954,26.85000038,26.85000038
7-27-12,22.28000069,23.19000053,123102300,24.54000092,23.70999908,23.70999908
7-30-12,23.03000069,24,29285900,24.04000092,23.14999962,23.14999962
7-31-12,21.61000061,23.37000084,56179400,23.37000084,21.70999908,21.70999908
8-1-12,20.84000015,21.5,44604400,21.57999992,20.87999916,20.87999916
8-2-12,19.81999969,20.77000046,56374500,20.84000015,20.04000092,20.04000092
8-3-12,19.89999962,20.36000061,80647000,22.15999985,21.09000015,21.09000015
8-6-12,21.29999924,21.38999939,27778900,22.14999962,21.92000008,21.92000008
8-7-12,20.5,22.20000076,36782900,22.45000076,20.71999931,20.71999931
8-8-12,20.21999931,20.70999908,29537400,21.14999962,20.71999931,20.71999931
8-9-12,20.61000061,20.75,15610700,21.17000008,21.01000023,21.01000023
8-10-12,21.12999916,21.40999985,25794700,21.81999969,21.80999947,21.80999947
8-13-12,21.39999962,22.14999962,24973100,22.45000076,21.60000038,21.60000038
8-14-12,20.25,21.40999985,39308800,21.60000038,20.37999916,20.37999916
8-15-12,20.39999962,20.63999939,47861100,21.40999985,21.20000076,21.20000076
8-16-12,19.69000053,20.44000053,157565300,20.47999954,19.87000084,19.87000084
8-17-12,19,20.01000023,129293400,20.07999992,19.04999924,19.04999924
8-20-12,18.75,19.04999924,101186600,20.12999916,20.01000023,20.01000023
8-21-12,19.09000015,19.57999992,70640600,19.97999954,19.15999985,19.15999985
8-22-12,18.95999908,19.36000061,49892200,19.53000069,19.44000053,19.44000053
8-23-12,19.36000061,19.5,32813700,19.72999954,19.44000053,19.44000053
8-24-12,19.25,19.52000046,29622200,19.68000031,19.40999985,19.40999985
8-27-12,19.10000038,19.48999977,20704000,19.53000069,19.14999962,19.14999962
8-28-12,18.95000076,19.10000038,25417000,19.37999916,19.34000015,19.34000015
8-29-12,19.06999969,19.31999969,16124700,19.37999916,19.10000038,19.10000038
8-30-12,19.05999947,19.27000046,30647500,19.45000076,19.09000015,19.09000015
8-31-12,18.03000069,18.68000031,58764200,18.70000076,18.05999947,18.05999947
9-4-12,17.54999924,18.07999992,46622400,18.27000046,17.72999954,17.72999954
9-5-12,18.18000031,18.27000046,60781800,18.75,18.57999992,18.57999992
9-6-12,18.71999931,18.73999977,46066500,19.26000023,18.95999908,18.95999908
9-7-12,18.78000069,19.10000038,36371700,19.42000008,18.97999954,18.97999954
9-10-12,18.54999924,19.05999947,24797800,19.20000076,18.80999947,18.80999947
9-11-12,18.85000038,18.92000008,50508200,19.57999992,19.43000031,19.43000031
9-12-12,20.28000069,20.76000023,121584000,21.15999985,20.93000031,20.93000031
9-13-12,20.61000061,20.95999908,65041600,21.47999954,20.70999908,20.70999908
9-14-12,20.89999962,21.12999916,72819800,22.07999992,22,22
9-17-12,21.5,22.67000008,50667600,22.75,21.52000046,21.52000046
9-18-12,21.37000084,21.60000038,36760500,21.97999954,21.87000084,21.87000084
9-19-12,21.77000046,21.98999977,78782800,23.37000084,23.29000092,23.29000092
9-20-12,22.54000092,23.02000046,57248900,23.23999977,22.59000015,22.59000015
9-21-12,22.60000038,22.96999931,51218100,23.23999977,22.86000061,22.86000061
9-24-12,20.36000061,21.78000069,79106500,21.97999954,20.79000092,20.79000092
9-25-12,20.21999931,21.20000076,46291700,21.20999908,20.28000069,20.28000069
9-26-12,19.79999924,20.14999962,38271900,20.78000069,20.62000084,20.62000084
9-27-12,20.15999985,20.98999977,30215900,21,20.31999969,20.31999969
9-28-12,20.5,20.56999969,65486000,21.95000076,21.65999985,21.65999985
10-1-12,21.72999954,22.07999992,51262700,22.59000015,21.98999977,21.98999977
10-2-12,21.81999969,22.07999992,29341400,22.48999977,22.27000046,22.27000046
