Date,Low,Open,Volume,High,Close,Adjusted Close
5-23-02,1.145714045,1.156429052,104790000,1.242856979,1.196429014,1.196429014
5-24-02,1.197142959,1.21428597,11104800,1.225000024,1.210000038,1.210000038
5-28-02,1.157142997,1.213570952,6609400,1.232143044,1.157142997,1.157142997
5-29-02,1.085713983,1.164286017,6757800,1.164286017,1.103571057,1.103571057
5-30-02,1.071429014,1.107856989,10154200,1.107856989,1.071429014,1.071429014
5-31-02,1.071429014,1.078570962,8464400,1.078570962,1.076429009,1.076429009
6-3-02,1.076429009,1.080000043,3151400,1.149286032,1.128571033,1.128571033
6-4-02,1.110713959,1.135714054,3105200,1.139999986,1.117856979,1.117856979
6-5-02,1.107143044,1.110713959,1531600,1.159286022,1.147143006,1.147143006
6-6-02,1.148571014,1.149999976,2305800,1.232143044,1.182142973,1.182142973
6-7-02,1.103571057,1.177857041,1369200,1.177857041,1.118571043,1.118571043
6-10-02,1.134286046,1.13499999,484400,1.174999952,1.156429052,1.156429052
6-11-02,1.128571033,1.156429052,1003800,1.188570976,1.15357101,1.15357101
6-12-02,1.08928597,1.15357101,1799000,1.182142973,1.092857003,1.092857003
6-13-02,1.080000043,1.104285955,2567600,1.12214303,1.082857013,1.082857013
6-14-02,0.980000019,1.082142949,4783800,1.085713983,0.986428976,0.986428976
6-17-02,0.917856991,1.013571024,4855200,1.059285998,0.922142982,0.922142982
6-18-02,0.842142999,0.938570976,10808000,0.939285994,0.910713971,0.910713971
6-19-02,0.892857015,0.911428988,5482400,0.996429026,0.951429009,0.951429009
6-20-02,0.949999988,0.97142899,6111000,1.039999962,0.957143009,0.957143009
6-21-02,0.947857022,0.982142985,2346400,0.989286005,0.979286015,0.979286015
6-24-02,0.957143009,0.979286015,2567600,1.014286041,0.978570998,0.978570998
6-25-02,0.947143018,0.988570988,3941000,1.007143021,0.964286029,0.964286029
6-26-02,0.921428978,0.963571012,2924600,0.996429026,0.988570988,0.988570988
6-27-02,0.942857027,1.009286046,3817800,1.018571019,0.943570971,0.943570971
6-28-02,0.960713983,0.960713983,9234400,1.013571024,0.999285996,0.999285996
7-1-02,0.992856979,1,4585000,1.046429038,1.027856946,1.027856946
7-2-02,1.039286017,1.053570986,9020200,1.195000052,1.172857046,1.172857046
7-3-02,1.117856979,1.178570986,4957400,1.21428597,1.21428597,1.21428597
7-5-02,1.213570952,1.21428597,2003400,1.299286008,1.276429057,1.276429057
7-8-02,1.167857051,1.252143025,1953000,1.252143025,1.175714016,1.175714016
7-9-02,1.114285946,1.174999952,2935800,1.196429014,1.16071403,1.16071403
7-10-02,1.132143021,1.161429048,1554000,1.178570986,1.163571,1.163571
7-11-02,1.132856965,1.154286027,2529800,1.27857101,1.269286036,1.269286036
7-12-02,1.207142949,1.27857101,2837800,1.279999971,1.207857013,1.207857013
7-15-02,1.076429009,1.242856979,4239200,1.248571038,1.142856956,1.142856956
7-16-02,1.104285955,1.152856946,1941800,1.157142997,1.126428962,1.126428962
7-17-02,1.075713992,1.144999981,1261400,1.163571,1.08928597,1.08928597
7-18-02,1.110713959,1.117143035,2899400,1.166429043,1.149286032,1.149286032
7-19-02,1.12214303,1.152856946,1792000,1.16071403,1.159999967,1.159999967
7-22-02,1.11500001,1.135714054,1993600,1.179286003,1.170714021,1.170714021
7-23-02,1.130714059,1.176429033,1577800,1.213570952,1.146428943,1.146428943
7-24-02,1.074285984,1.146428943,3355800,1.159286022,1.114285946,1.114285946
7-25-02,1.034999967,1.125,4755800,1.12785697,1.036429048,1.036429048
7-26-02,0.850000024,1.049999952,7046200,1.058570981,0.871429026,0.871429026
7-29-02,0.850000024,0.896429002,3260600,0.924286008,0.876429021,0.876429021
7-30-02,0.893571019,0.893571019,3777200,0.942857027,0.914286017,0.914286017
7-31-02,0.905713975,0.928570986,3333400,0.959999979,0.953571022,0.953571022
8-1-02,0.877857029,0.949999988,4529000,0.959999979,0.891429007,0.891429007
8-2-02,0.706429005,0.886429012,6655600,0.88785702,0.777857006,0.777857006
8-5-02,0.760713995,0.77857101,3808000,0.812856972,0.774999976,0.774999976
8-6-02,0.742856979,0.795714021,3217200,0.803570986,0.760713995,0.760713995
8-7-02,0.742856979,0.760713995,2758000,0.793570995,0.793570995,0.793570995
8-8-02,0.750714004,0.796428978,2283400,0.803570986,0.796428978,0.796428978
8-9-02,0.77857101,0.798570991,1500800,0.821429014,0.787142992,0.787142992
8-12-02,0.753570974,0.802856982,2130800,0.807142973,0.757143021,0.757143021
8-13-02,0.754285991,0.767857015,1677200,0.805000007,0.77285701,0.77285701
8-14-02,0.771429002,0.77571398,4047400,0.833571017,0.833571017,0.833571017
8-15-02,0.832857013,0.837143004,3263400,0.910713971,0.882857025,0.882857025
8-16-02,0.857142985,0.892857015,1828400,0.924286008,0.912856996,0.912856996
8-19-02,0.917856991,0.925000012,2074800,0.98428601,0.982142985,0.982142985
8-20-02,0.921428978,0.985000014,2539600,0.993570983,0.946429014,0.946429014
8-21-02,0.918570995,0.952857018,2779000,0.97142899,0.968571007,0.968571007
8-22-02,0.929286003,0.973571002,2963800,0.999285996,0.983570993,0.983570993
8-23-02,0.967857003,0.993570983,2406600,0.996429026,0.993570983,0.993570983
8-26-02,0.937856972,0.996429026,2644600,0.996429026,0.967857003,0.967857003
8-27-02,0.857856989,0.967857003,4984000,0.967857003,0.873570979,0.873570979
8-28-02,0.824999988,0.861428976,2275000,0.889999986,0.864286005,0.864286005
